"imdb_id","title","rating_imdb","rating_count","storyline","certificates","release_date","duration_min","imdb_url_film","url_poster"
"tt2265171","Serbuan maut 2: Berandal",7.9,138100,"He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a fight that left the bodies of police and gangsters alike piled in the halls - rookie Jakarta cop Rama thought it was done and he could resume a normal life. He couldn't have been more wrong. Formidable though they may have been, Rama's opponents in that fateful building were nothing more than small fish swimming in a pond much larger than he ever dreamed possible. And his triumph over the small fry has attracted the attention of the predators farther up the food chain. His family at risk, Rama has only one choice to protect his infant son and wife: He must go undercover to enter the criminal underworld himself and climb through the hierarchy of competing forces until it leads him to the corrupt politicians and police pulling the strings at the top of the heap. And so Rama begins a new odyssey of violence, a journey that will force him to set aside his own life and history and take on a new identity as the violent offender ""Yuda."" In prison he must gain the confidence of Uco - the son of a prominent gang kingpin - to join the gang himself, laying his own life on the line in a desperate all-or-nothing gambit to bring the whole rotten enterprise to an end.","Rated R for sequences of strong bloody violence throughout, sexuality and language",2014-04-11,150,"https://www.imdb.com/title/tt2265171/?ref_=sr_t_143","https://www.imdb.com/title/tt2265171/mediaviewer/rm3810042369/?ref_=tt_ov_i"
"tt5821664","Istirahatlah Kata-Kata",7.3,286,"Wiji Thukul, a well-known poet, is designed as a suspect activist. With the police looking for him, Wiji is forced to leave Solo for Borneo, thousands of kilometers away.","TV-MA",2017-01-19,97,"https://www.imdb.com/title/tt5821664/?ref_=sr_t_340","https://www.imdb.com/title/tt5821664/mediaviewer/rm3338550784/?ref_=tt_ov_i"
"tt6116856","The Night Comes for Us",6.9,32299,"Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.","TV-MA",2018-10-19,121,"https://www.imdb.com/title/tt6116856/?ref_=sr_t_509","https://www.imdb.com/title/tt6116856/mediaviewer/rm4170087680/?ref_=tt_ov_i"
"tt7076834","Pengabdi Setan",6.5,13300,"The family of Rini is financially broken and she lives with her father, her mother that is ill, her grandmother that is crippled, and her brothers Tony, Bondi and the mute six year-old Ian in an old house in the countryside nearby a cemetery. Her mother, who was a successful singer, is dying from a mysterious disease and her father does not have money to support the family. When her mother dies, her father needs to travel to the city to sell the house and weird things happen in the house. The skeptical Rini befriends Hendra, son of the religious Ustadz, and they learn that her mother was infertile and joined a cult that worships Satan to have children. And now, when Ian will be seven, they will take the boy with them. What can they do to protect Ian? —Claudio Carvalho, Rio de Janeiro, Brazil","Not Rated",2017-09-28,107,"https://www.imdb.com/title/tt7076834/?ref_=sr_t_704","https://www.imdb.com/title/tt7076834/mediaviewer/rm3806012160/?ref_=tt_ov_i"
"tt1190160","Susahnya Jadi Perawan",4.6,17,,"-",2008-01-03,90,"https://www.imdb.com/title/tt1190160/?ref_=sr_t_1373","https://www.imdb.com/title/tt1190160/mediaviewer/rm647642880/?ref_=tt_ov_i"
"tt1899353","Serbuan maut",7.6,228500,"In Jakarta, Indonesia, Lieutenant Wahyu organizes the invasion of an apartment building that is the safe house of the powerful and cruel drug lord Tama and his gang. The SWAT team breaks in the building but one lookout sees and warns the gangsters and the police force is trapped on the seventh floor. They learn that Lt. Wahyu has not informed his superiors about the operation. Now the police officers have to fight with limited ammunition against the armed and dangerous gangsters. —Claudio Carvalho, Rio de Janeiro, Brazil","Rated R for strong brutal bloody violence throughout, and language",2012-04-13,101,"https://www.imdb.com/title/tt1899353/?ref_=sr_t_217","https://www.imdb.com/title/tt1899353/mediaviewer/rm1278531073/?ref_=tt_ov_i"
"tt11013610","KKN di Desa Penari",5.9,3000,"A man known as Simpleman, got a scary story. Starting from 5 students who had to carry out KKN in a remote village, Nur (Tissa Biani), Widya (Adinda Thomas), Ayu (Aghniny Haque), Bima (Achmad Megantara), Anton (Calvin Jeremy) and Wahyu (M. Fajar Nugraga) never thought that the village they chose was not an ordinary village. Pak Prabu (Kiki Narendra) the village head warns them not to cross the boundary of the forbidden gate, a gate leading to the footprint. The mysterious place may have something to do with the figure of a beautiful dancer who began to disturb Nur and also Widya. One by one began to feel the strangeness of the village. Bima began to change his attitude. Their KKN program is a mess, it seems that the unseen inhabitants of the village don't like them. Nur finally found an astonishing fact that one of them violated the most fatal rules in the village. The terror of the mysterious dancer figure became even more frightening, they tried to ask the help of Mbah Buyut (Diding Boneng) the local shaman, but it was too late, they threatened they would not be able to return safely from the village known as the dancer's village.","-",2022-04-30,130,"https://www.imdb.com/title/tt11013610/?ref_=sr_t_971","https://www.imdb.com/title/tt11013610/mediaviewer/rm2714311937/?ref_=tt_ov_i"
"tt33479839","Pengepungan di Bukit Duri",6.5,2500,"In the midst of the turbulent conditions of Indonesian society in 2027 that are on the verge of collapse, Edwin faces a fight for survival when the school where he teaches suddenly turns into a life-and-death battle triggered by discrimination and racial hatred.","TV-MA",2025-08-15,118,"https://www.imdb.com/title/tt33479839/?ref_=sr_t_708","https://www.imdb.com/title/tt33479839/mediaviewer/rm1034851330/?ref_=tt_ov_i"
"tt27433995","Jumbo",8,3500,"Desperate to prove to his peers that he's more than a chubby kid that never wins at anything, little Don wishes to win his local talent show by performing a stage play inspired from a story book written by his late parents. When unfortunately a bully stole that book, at the same time a little ghost appeared from the spirit world asking for Don's help to reunite her with her parents' spirits. The two new friends then embark on an exciting adventure to help each other and learn the true meaning of friendship.","TV-PG",2025-12-25,102,"https://www.imdb.com/title/tt27433995/?ref_=sr_t_123","https://www.imdb.com/title/tt27433995/mediaviewer/rm1303612162/?ref_=tt_ov_i"
"tt31592660","Sumala",5.8,1500,"Unbeknownst to her husband Soedjiman, Sulastri made a pact with the devil so that she could have children. She gave birth to twins, Kumala who survived and Sumala who died, Kumala grew up to be a kind child but physically and mentally disabled, she often received bad treatment from the people around her. One day Sumala came from the world of the dead and made a reckoning with those who had hurt Kumala.","TV-MA",2025-02-06,112,"https://www.imdb.com/title/tt31592660/?ref_=sr_t_1008","https://www.imdb.com/title/tt31592660/mediaviewer/rm1768451841/?ref_=tt_ov_i"
"tt5923026","Marlina si pembunuh dalam empat babak",6.9,3600,"In the deserted hills of an Indonesian island, Marlina, a young widow, is attacked, raped and robbed for her cattle. To defend herself, she kills several men of the gang. Seeking justice, she goes on a journey for empowerment and redemption. But the road is long, especially when the ghost of her headless victim begins to haunt her.","Not Rated",2017-11-16,93,"https://www.imdb.com/title/tt5923026/?ref_=sr_t_512","https://www.imdb.com/title/tt5923026/mediaviewer/rm3739558912/?ref_=tt_ov_i"
"tt28000455","Setan Botak di Jembatan Ancol",6,11,"Since the tragic death of her adopted sister, Nirmala has been haunted by a figure in a red dress who urges her to leave. At the same time, the village of Jembatan Ancol is terrorized by the appearance of Si Manis Jembatan Ancol. However, behind all this terror, there is the Bald Devil, a former thug who disguises himself for revenge. Meanwhile, Nirmala's adoptive parents are hiding a dark secret. When the truth is revealed and lives are at stake, Maryam, the Bald Devil, and other dark forces battle in a night of terror. Who will survive, and who will disappear forever?","-",2025-03-06,79,"https://www.imdb.com/title/tt28000455/?ref_=sr_t_949","https://www.imdb.com/title/tt28000455/mediaviewer/rm2677180674/?ref_=tt_ov_i"
"tt33240854","Esok Tanpa Ibu",7.4,37,"The relationship between Rama, a boy going through a tumultuous adolescence, and an artificial intelligence. In the near future, in a happy family on the outskirts of a big city, Rama's mother accidently falls into a coma. As she is Rama's entire world of care and understanding, he joins forces with a hacker friend to create an AI that learns from his mother's online footprint.","TV-14",2026-01-22,107,"https://www.imdb.com/title/tt33240854/?ref_=sr_t_280","https://www.imdb.com/title/tt33240854/mediaviewer/rm703308802/?ref_=tt_ov_i"
"tt1243228","Sumpah Pocong di Sekolah",4.8,60,,"-",2008-06-12,90,"https://www.imdb.com/title/tt1243228/?ref_=sr_t_1334","https://www.imdb.com/title/tt1243228/mediaviewer/rm4210299392/?ref_=tt_ov_i"
"tt5199156","3: Alif, Lam, Mim",7,433,"Three school friends learn martial arts at a young age to fight for their country, but take different paths in life as they get older and must make difficult choices, balancing friendship, loyalty and honor. This futuristic action film takes place in the year 2034 when Indonesia has become a peaceful country after a civil war. The country is more liberal and prosperous, and violence is forbidden. Human rights have become the main principle of the country, yet numerous radical groups try to change the face of democracy. After a bomb blast in a cafe, the three old friends are forced into conflict. —Osaka Asian Film Festival","TV-MA",2015-10-01,123,"https://www.imdb.com/title/tt5199156/?ref_=sr_t_467","https://www.imdb.com/title/tt5199156/mediaviewer/rm2635076096/?ref_=tt_ov_i"
"tt1495817","Kata Maaf Terakhir",6.9,11,"Darma is facing the last month of his life. Therefore, he made a list of things to do so that he could die peacefully. His wishes include praying five times a day, fasting for a whole month, quitting smoking, and getting forgiveness from his ex-wife and the two children he abandoned. Six years ago, Darma left Dania, his wife and two children, Reza and Lara, because he impregnated Alina, Dania's best friend. Darma has fulfilled all his wishes. However, his last wish will be very difficult for him to obtain. Darma knows that his family is devastated by the incident. One day, Darma accidentally met Lara. He tried hard to approach Lara. Lara, who was initially hesitant, finally gave in to her father's wishes. Because deep in his heart he really missed this event. Darma also conveyed the conditions he was facing. Lara was in a dilemma, should she tell her brother?","-",2009-08-27,,"https://www.imdb.com/title/tt1495817/?ref_=sr_t_555","https://www.imdb.com/title/tt1495817/mediaviewer/rm275547649/?ref_=tt_ov_i"
"tt10643918","Guru-Guru Gokil",6.2,607,"Guru-Guru Gokil (Crazy Awesome Teachers) tells the story of Taat (Gading Marten), a reluctant new teacher and his colleagues as they set out to take back their salaries that were stolen from them by a dangerous gangster. Guru-Guru Gokil (Crazy Awesome Teachers) will premier exclusively on Netflix. —BASE Entertainment","TV-14",2020-08-17,101,"https://www.imdb.com/title/tt10643918/?ref_=sr_t_846","https://www.imdb.com/title/tt10643918/mediaviewer/rm2358160897/?ref_=tt_ov_i"
"tt9435162","DreadOut",5,986,"Jessica, Beni, Dian, Alex, Erik, and Linda want to increase their popularity through recording their adventures to upload to their social media accounts. They chose to go to an abandoned apartment famous for its awesomeness. Linda manages to persuade Kang Heri, security guard, to enter the apartment. Linda and friends found one apartment unit which is given a police line. Encouraged by curiosity, they brake down the door of the apartment unit. When they are researching the room, they find an old parchment, which only Linda could read. After Linda reads the writing on the parchment, suddenly a portal open. Inadvertently Linda and her friends have opened the door to the magical world and anger the portal guardian supernatural creatures. —filmindonesia.or.id","-",2019-01-03,97,"https://www.imdb.com/title/tt9435162/?ref_=sr_t_1275","https://www.imdb.com/title/tt9435162/mediaviewer/rm705984256/?ref_=tt_ov_i"
"tt1368116","Merantau",6.7,11900,"In Minangkabau, West Sumatera, Yuda a skilled practitioner of Silat Harimau is in the final preparations to begin his ""Merantau"" a century's old rites-of-passage to be carried out by the community's young men that will see him leave the comforts of his idyllic farming village and make a name for himself in the bustling city of Jakarta. After a series of setbacks leave Yuda homeless and uncertain about his new future, a chance encounter results in him defending the orphaned Astri from becoming the latest victim of a European human trafficking ring led by the wildly psychotic, Ratger and his right-hand man Lars. With Ratger injured in the mêlée and seeking both his ""merchandise"" and bloody retribution, Yuda's introduction to this bustling city is a baptism of fire as he is forced to go on the run with Astri and her younger brother Adit as all the pimps and gangsters that inhabit the night hound the streets chasing their every step. With escape seemingly beyond their grasp, Yuda has no choice but to face his attackers in an adrenaline charged, jaw-dropping finale. —PT. Merantau Films","Rated R for strong bloody violence, and language",2009-11-05,134,"https://www.imdb.com/title/tt1368116/?ref_=sr_t_619","https://www.imdb.com/title/tt1368116/mediaviewer/rm1445234944/?ref_=tt_ov_i"
"tt9165634","Hanum & Rangga: Faith & The City",1.3,3800,"Hanum and Rangga are a married couple who are in a dilemma when Hanum gets a dream career offer in New York. Amidst the demands of work, their relationship is tested.","-",2018-11-08,90,"https://www.imdb.com/title/tt9165634/?ref_=sr_t_1551","https://www.imdb.com/title/tt9165634/mediaviewer/rm1251111424/?ref_=tt_ov_i"
"tt27799267","Tuhan, Izinkan Aku Berdosa",7.1,561,"The film's story alternates between the past and the present. Before becoming a mistress and a big-time prostitute one of the people who got her into it was her own lecturer Kiran was a smart student with lofty dreams. He can't wait to graduate soon, especially since his parents can't afford much to support him. Kiran's father is seriously ill and just retired. Without the help of a middle-aged prostitute named Ami, Kiran can't get a place to stay. One day Kiran gets a call from Abu Darda, a cleric who is a role model for the congregation group he follows. Abu Darda offers to marry Kiran, including providing support for her and her family. Kiran was moved to accept the offer. However, it turned out that Abu Darda already had two wives. Abu Darda said that he had contacted Kiran's parents to immediately propose to Kiran. Kiran is shocked. Not only because he felt that Abu Darda stepped over him, but also Kiran felt that the cleric had violated his own words. Abu Darda was furious and accused Kiran of spreading slander. Since then, Kiran's life has changed. He, who was originally considered a superior preaching cadre, became hunted and was labeled as insulting major ulama. In the midst of this situation, Kiran meets Da'rul a fellow member of the congregation, who helps Kiran escape from the group.","-",2024-05-22,117,"https://www.imdb.com/title/tt27799267/?ref_=sr_t_414","https://www.imdb.com/title/tt27799267/mediaviewer/rm1632075521/?ref_=tt_ov_i"
"tt6880058","Rafathar",1.5,1000,"RAFATHAR is a new Indonesian comedy action film of 2017. Rafathar film (2017) will tell a story about a man named Jonny Gold (played by Raffi Ahmad), along with his co-worker Popo Palupi (Babe Cabita). They are a pair of professional robbers with small scale and also large indiscriminately. But this time they got a job, which is kidnapping a baby boy named Rafathar (played by Rafathar Malik Ahmad), baby adopted by a very rich family. This film is directed from a movie director named Bounty Umbara. The film is produced by Raffi Ahmad, and Anggy Umbara. —Farhan Azhari Anwar","-",2017-08-10,91,"https://www.imdb.com/title/tt6880058/?ref_=sr_t_1547","https://www.imdb.com/title/tt6880058/mediaviewer/rm2785883392/?ref_=tt_ov_i"
"tt8237172","Gundala",6.1,6200,"Sancaka has lived on the streets since his parents left him. Living a hard life, Sancaka survives by thinking about his own safety. When the condition of the city gets worse and injustice rages throughout the country, Sancaka must decide whether he continues to live to look after himself or rise to become hero for the oppressed.","TV-14",2019-08-29,123,"https://www.imdb.com/title/tt8237172/?ref_=sr_t_896","https://www.imdb.com/title/tt8237172/mediaviewer/rm3705517825/?ref_=tt_ov_i"
"tt37846979","Merah Putih: One for All",1,4700,"Eight diverse kids form ""Tim Merah Putih"" to guard Indonesia's flag for Independence Day. When it goes missing, they unite on a mission to retrieve it, learning teamwork, patriotism, and the power of unity in diversity.","Not Rated",2025-08-14,70,"https://www.imdb.com/title/tt37846979/?ref_=sr_t_1553","https://www.imdb.com/title/tt37846979/mediaviewer/rm927969282/?ref_=tt_ov_i"
"tt7981492","Sabrina",4.2,2200,"Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya plays Charlie's Pencil to summon her late mother, strange things begin to happen. Maira is terrorized by the Sabrina doll. What is happening with the doll and what does it want?","-",2018-07-12,113,"https://www.imdb.com/title/tt7981492/?ref_=sr_t_1422","https://www.imdb.com/title/tt7981492/mediaviewer/rm3563670784/?ref_=tt_ov_i"
"tt18291774","Before I Met You",7.7,899,"Gadis transfers schools and meets Bara, the school's playboy. Gadis, traumatized by seeing her mother divorced because of her father's cheating, feels uncomfortable with Bara's treatment. Gadis has a crush on a cafe singer, Rama. Unfortunately, Rama already has a lover: Luna. Bara is not the guy who gives up easily. He keeps chasing Gadis. Gadis also do not give up chasing Rama. Rama sees that Gadis is a different type of girl from Luna. One day, Gadis crashes into someone else's car, and Bara helps her. Gadis sees the other side of a Bara. Gadis finally falls in love with Bara. Unexpectedly, Rama approaches Gadis and tells her he has broken up with Luna.","-",2022-11-03,104,"https://www.imdb.com/title/tt18291774/?ref_=sr_t_200","https://www.imdb.com/title/tt18291774/mediaviewer/rm865789185/?ref_=tt_ov_i"
"tt16915972","Pengabdi Setan 2: Communion",6.7,5000,"Several years after they managed to save themselves from a terrible incident that made them lose their mother and the youngest Ian, Rini and her younger siblings, Toni and Bondi, and their Father live in flats. They believe living in flats is safe if something happens because there are many people. However, they soon realize that living with many people might also be dangerous if they do not know their neighbors. On a night full of terror, Rini and her family must return to save themselves. But this time, it might be too late to run.","Unrated",2022-11-04,119,"https://www.imdb.com/title/tt16915972/?ref_=sr_t_617","https://www.imdb.com/title/tt16915972/mediaviewer/rm1282544641/?ref_=tt_ov_i"
"tt8765496","Sebelum Iblis Menjemput",5.9,5800,"A young woman Alfie had been estranged from her rich father for years after her mother's brutal accident. She gets a call from her step sibling regarding her father's mysterious illness and when she visits the hospital, she comes to know that her step mother needs her signature for selling off an old, abandoned rural house. Alfie visits the old house after strange happenings regarding a ghost but unearths a terrifying secret about her father's wealth. —Fella_shibby@yahoo.com","TV-MA",2018-08-09,110,"https://www.imdb.com/title/tt8765496/?ref_=sr_t_967","https://www.imdb.com/title/tt8765496/mediaviewer/rm1397848576/?ref_=tt_ov_i"
"tt9044128","Suzzanna: Bernapas dalam kubur",5.5,1200,"Suzzanna and Satria have been married for seven years but have not been blessed with children. They live with three assistants: Mia, Tohir, and Rojali. Suzzanna's long-awaited pregnancy finally happens, but unfortunately it is coincided with Satria's official plan abroad. This opportunity is utilized by four Satria employees: Jonal, Umar, Dudun, and Gino, who hold grudges against Satria and intend to rob Satria's house when his house is empty. But unlucky, their robbery plan turns into the murder of Suzzanna who is supposed to go out with her assistants but to return home by herself due to a weak body condition. Because of panic, they then burry Suzzanna's body in the house's backyard. Strangely, the next day, Suzzanna continues to act as usual at home, as if nothing has happened. —Eldwin Muhammad","TV-MA",2018-11-15,125,"https://www.imdb.com/title/tt9044128/?ref_=sr_t_1128","https://www.imdb.com/title/tt9044128/mediaviewer/rm1637059073/?ref_=tt_ov_i"
"tt1631739","Kain Kafan Perawan",4.4,42,,"-",2010-02-25,85,"https://www.imdb.com/title/tt1631739/?ref_=sr_t_1407","https://www.imdb.com/name/nm3479342/?ref_=tt_cst_i_1"
"tt34548722","Sore: Istri dari Masa Depan",7.7,4100,"Jonathan, a young man, who lives his life as usual until one day his world changes completely. A mysterious woman named Sore suddenly appears and claims to be his wife from the future. Sore does not come without a reason. She has one important mission: to change Jonathan's lifestyle and habits before it's too late. On his journey, Sore begins to reveal secrets of the future that shake Jonathan's beliefs. However, not everything goes smoothly. When the past, present, and future collide, an unexpected surprise occurs. The question then arises: will Sore's efforts to save Jonathan's life succeed? And if you were in Jonathan's position, what would you do if your future spouse suddenly came and greeted you today?","TV-14",2025-12-10,119,"https://www.imdb.com/title/tt34548722/?ref_=sr_t_190","https://www.imdb.com/title/tt34548722/mediaviewer/rm3306652674/?ref_=tt_ov_i"
"tt9231140","A Man Called Ahok",8.1,4300,"Ahok (Daniel Mananta) was born into a family with his father Kim Nam (Chew Kin Wah) is a mining businessman. But the business is not smooth because of corrupt people. These problems make their relationship cold. Ahok followed the steps of his father, Kim Nam opened a mine in Belitung. But apparently the same person made his business go bankrupt. Besides that, Ahok's family also experienced a tragic event. In a frantic condition, Ahok remembers his father's message to be a leader and finally, he is determined to plunge into politics. —Darwin Su","-",2018-11-08,102,"https://www.imdb.com/title/tt9231140/?ref_=sr_t_110","https://www.imdb.com/title/tt9231140/mediaviewer/rm236941568/?ref_=tt_ov_i"
"tt31158596","Kuyang: Sekutu Iblis yang Selalu Mengintai",5.1,564,"""The devil's greatest trick is when you believe he doesn't exist."" Those words kept ringing in Bimo's mind. He can no longer avoid it, his decision to change his fate to Muara Tapah Village is something he will regret for the rest of his life. Now, he has to face the reality, a creature allied with the devil is targeting his wife and future child. There were many regrets piled up in his heart. He also can no longer decide who is worthy of trust. Pak Kasno and Pak Tingen, his teaching friends? Mr. Village Head and his wife? Or the midwife who has been helping his wife? For Bimo everything was blurry and disturbing. He only had his pregnant wife in this village, and that was what he wanted to take away. A demon with a head without a body floating around continues to appear in Bimo's memory. Between his grins, he showed off the baby's feet which were in his mouth covered in blood. Bimo knew that if he acted too late, his wife and future children would suffer the same fate. He made various plans in his head. No one should take away his wife and future children.","-",2024-03-07,97,"https://www.imdb.com/title/tt31158596/?ref_=sr_t_1244","https://www.imdb.com/title/tt31158596/mediaviewer/rm3724361985/?ref_=tt_ov_i"
"tt1718856","Pengantin Topeng",7.3,20,"Randy (Hardy Hartono) and Alexa (Masayu Anastasia) are getting married. To say goodbye to the carefree days, they invite three best friends on a vacation, in a paradise beach. Billy, Kinar (Lolita Putri) and Rosa (Adelia Rasya) are happy to join in the fun, and share the trip in Randy's car to the south coast of West Java. On arrival, these three immediately spend time looking around until evening. With sunbathing, splashing in the ocean, talking, and dancing, it is already late when they get to the road for the night at the hotel. The car broke down on the road, and the distance to the hotel is quite far. In this secluded place there is no public transportation, and the mobile phones do not get a connection. Finally, there is no choice for them except to stay at a decrepit bungalow on the beach. Finding a rotting body in the house is not a good way to start the evening - but worse is about to come. Like the sad scene Alexa and her younger brother saw at home, when they were little kids. —Artemis-9","-",2010-07-15,92,"https://www.imdb.com/title/tt1718856/?ref_=sr_t_364","https://www.imdb.com/title/tt1718856/mediaviewer/rm1161710593/?ref_=tt_ov_i"
